shop_name,shop_adr
メーヤウ 桐店,長野県松本市桐1-2-35小松プラザ１Ｆ
パッタイ,山梨県甲府市貢川1-3-18
タイレストラン&ウドンストア,新潟県中央区鳥屋野2-17-28
パシカポーン,群馬県伊勢崎市柴町1040-1
クンポー,茨城県つくば市大字上横場356-1
居酒屋 福兵衛,栃木県宇都宮市本町6-1大野ビル２Ｆ
タイレストラント・パブ・アロイ・ディー,福島県いわき市平字田町1-15
Kinnaree,宮城県仙台市青葉区一番町1-6-22シャンボール一番町B1F
Ｂａｉｍａｋｒｕｔ,岩手県盛岡市中ノ橋通1-4-22中の橋106ビル101
グラープ,山形県米沢市城南1-7-76
無国籍喫茶　フォーチュン,						山形県山形市千歳１－１６－３８　1F
カフェくるくま,沖縄県南城市知念知念1180-2
ブロックＭ,北海道釧路市錦町2-4Ｍｏｏ１Ｆ
くい亭,北海道旭川市4条通15
大国屋,北海道函館市弁天町13-6
南風食堂,北海道札幌市中央区南3条東1-1-6
孔子餐店,北海道札幌市北区北十四条西4-11-12北大病院前ビル２Ｆ
JICA帯広国際センターレストラン,北海道帯広市西20条南6-1
チャクラ,北海道札幌市中央区南二条東1-1-6Ｍ’ｓ二条横丁２Ｆ
本格タイ料理バル　puan　  ,						東京都世田谷区太子堂２-23-5 2F
本格タイ料理バンコク　新宿東口店,						東京都新宿区歌舞伎町１-3-15ザカテリーナビル1F
タイ料理　チャンパーカフェ　サブナード店,						東京都新宿区歌舞伎町１サブナード地下街
タイ屋台料理　ＴＩＮＵＮ　錦糸町店,						東京都墨田区太平４-1-2　オリナス錦糸町 3F
タイ料理　オーキッド　池袋西口店,						東京都豊島区西池袋１-21-13-B1
タイ料理　ティーヌンキッチン　西新宿店,						東京都新宿区西新宿７-7-7 ハイライフ西新宿107
タイ家庭料理 クルア チョントーン,						東京都北区赤羽１－１０－２　パレスビルB１－１
インドネパール料理&居酒屋フルバリ清瀬,						東京都清瀬市松山１-15-6 宮ビル1F
ベトナムビストロ バンフィールド 小石川後楽園    （Vang Field）,						東京都文京区小石川１-16-6 サンクタス小石川プレサイス1階
タイ料理・インド料理　Asiatique　（アジアティーク）　立川店,						東京都立川市曙町２-11-2-101 フロムchubu 1F
タイ田舎料理　クンヤー,						東京都豊島区池袋２-４-１越路ビル２F
アジア料理ラマ　井草,						東京都杉並区井草３-23-3
天然アジア料理 エバーグリーン,						東京都世田谷区桜新町１-12-9 2F
Sama Sama Warung,千葉県松戸市常盤平5-17-10シャルネ９５１Ｆ
Rab.cafe,埼玉県さいたま市大宮区大門町2-23
ベトバル,						東京都新宿区西早稲田３-20-4 金子ビル２階
Asian　Tao　（アジアン タオ）,						東京都豊島区東池袋１-２‐６ １・２F
HELLO PHO,						東京都荒川区荒川７-３９－２ミツトヨ町屋ビル２階
ハノイ　新宿店,						東京都新宿区歌舞伎町１-12-6 歌舞伎町ビルB1F
アン　ナン（AN　NAM）,						東京都板橋区成増２丁目５－３グリーンヒル１０１
GOI　CUON,						東京都荒川区南千住６-59-19SSKグリーンパーク荒川1F
でですけ　サイゴンキッチン,						東京都中央区日本橋室町１－１１－４
Asian Table&Bar　REN,						東京都品川区南大井６-19-10 岳南大森ビル1F
サイゴン　マジェスティック,						東京都墨田区錦糸３-３-９イースト錦糸町ビル4F
BAMI　OISHI　浜田山店,						東京都杉並区浜田山３‐24-7
BAMI　OISHI　大久保店,						東京都新宿区百人町２-23-5
ホァングン　渋谷文化村通り店,						東京都渋谷区道玄坂２-25-10 6F
タイ料理 シーロム ソイ ９（ガオ）,						東京都港区東新橋１-9-1 東京汐留ビルディング ペディ汐留2F
タイ料理　THai THai　（タイタイ） ,						東京都大田区上池台１－６－４
タイ料理　THAI　DINING　Plaloma　渋谷店,						東京都渋谷区桜丘町３０－１５　ビバリーヒルズ１０１
ハヌマン　石川台店,						東京都大田区東雪谷２-14-1
カオサン　渋谷宮益坂　（シブヤミヤマスザカ）,						東京都渋谷区渋谷１-8-5　小山ビル2F
用賀タイ食堂,						東京都世田谷区用賀３-15-11　アルス用賀3丁目-103
nico☆バインミー,						東京都中央区日本橋小舟町11-3　大村ビル1F
炭火焼肉 Tao,						東京都豊島区東池袋１－２－６　B1
ワンチャン　タイレストラン,						東京都中央区日本橋人形町１-19-3-1F
バンコクバール　スクンビット・ソイ　39　霞ダイニング,						東京都千代田区霞が関３－２－５　霞が関ビル１階　霞ダイニング
マンゴツリーカフェ　アーバンドック　ららぽーと豊洲,						東京都江東区豊洲２－4－9　アーバンドック　ららぽーと豊洲３F
シンガポール　ホーカーズ,						東京都立川市柴崎町２-3-7　松本ビル2階
Chao Hanoi  （チャオハノイ）,						東京都新宿区高田馬場１-6-15　荒井ビルB１
rongsuraタイ1950's　ローンスラー,						東京都世田谷区北沢２－１７－１４　下北沢センタービル３F
いなかむら新御徒町店,						東京都台東区台東４-3-1
カオマンガイ,						東京都立川市柴崎町２－２－１３　ＦＫＫ柴崎町１Ｆ
ハノイフォー,						東京都豊島区巣鴨１-17-8NZ1178B1
Thai Cuisine Prince ∞ PrinCess　お台場アクアシティ店,						東京都港区台場１-7-1　アクアシティお台場6F
ブルースカイタイランド,						東京都台東区上野３‐７‐４　水谷ビル１Ｆ
ASIAN TAWAN　神楽坂,						東京都新宿区神楽坂５-30 ファン神楽坂２　２Ｆ
新大久保　アジア屋台村,						東京都新宿区百人町１-11-28　大長今ビル1階
Thai Garden 渋谷,						東京都渋谷区宇田川町２４－１０　Ｂ１Ｆ
アジアンダイニング　シルザナ　市ヶ谷,						東京都千代田区九段南４-7-22
チャオパクチー,						東京都世田谷区北沢２-6-6 澤田ビルB1F
GREEN ASIA　グリーンアジア　六本木ヒルズ,						東京都港区六本木６－１０－１　六本木ヒルズ　ヒルサイドＢ１
アジアンダイニング サンティ,						東京都文京区本郷５丁目25-18太平赤門前ビル
ガウタムブッダ　中野新橋,						東京都中野区弥生町２-19-16
Bua de Thai　ブアデタイ,						東京都港区新橋３-23-４　２F
タイレストラン ルアンマイ,						東京都板橋区大山町5-10東京ビル3F
アジアンパーム,						東京都北区赤羽２-16-1　スズオリビルB1F
タイレストラン　沌　（トン）　コレド日本橋,						東京都中央区日本橋１－４－１　コレド日本橋4F
タイレストラン イムサイアム,						東京都板橋区常盤台１-5-7 山口ビル1階
SIAM CELADON（サイアムセラドン）東京,						東京都千代田区丸の内１-8-2　鉄鋼ビルB1
アジアYATAIYA,神奈川県横浜市中区末吉町2-29-2
ジャスミンパレス 町田店 （JASMINE PALACE）,						東京都町田市原町田６-2-6 町田モディ 9階
グリーンパッタイ　神田店,						東京都千代田区神田駿河台３－７－１５　大場ビル１Ｆ
asian asian,						東京都足立区綾瀬２-24-11
SIAM CELADON （サイアムセラドン）　新宿タカシマヤ店,						東京都渋谷区千駄ヶ谷５－２４－２　タカシマヤタイムズスクエア１２階
カオマンガイ　16号,						東京都福生市福生2270
ディルクス,						東京都足立区扇２-3-17
カオマンガイ　バザール　三鷹店,						東京都武蔵野市中町１-3-2　ハウスプランニングビル１F
シヤー・トムヤムクン・ポーチャナー,						東京都台東区上野６-16-7DB-3F
マンゴツリーカフェ　ルミネ池袋店,						東京都豊島区西池袋１-11-1 ルミネ池袋「イケレス8&9」9Ｆ
バーン・カオケン,						東京都豊島区池袋２-62-3
ThaiDining555,						東京都新宿区西早稲田２-４-１９ 日本UBF1F
アジアンミントカフェ,						東京都墨田区江東橋１-７-２０
タイキッチン アロイ 天王洲アイル,						東京都品川区東品川２丁目３－１０シーフォートスクエア１Ｆ
ハヌマン 久が原店,						東京都大田区久が原３-40-4
